CommonName,ScientificName,TreeImage,Description,TreeNumber,Tree Tour Index,TreeOnTour,NumberOnTour,GeorgiaNative,BeeTree,Type of Tree (tempation),Shape,Leaf Attachment,Leaf Type,Flowering,Flower Color,Cone/Fruit Type,Country of Origin,Habitat,Range,Fall Color
White Oak,Quercus alba,01470_Quercus_alba.jpg,"This tree has tyloses that give the wood a closed cellular structure, making it water- and rot-resistant, thus it is used for wine and whiskey barrels and the USS Constitution ship structure.  The fruit is an acorn, a valuable food for turkeys, wood ducks, pheasants, grackles, jays, nuthatches, thrushes, woodpeckers, rabbits, squirrels, and deer.",1470,2,Hill Tour,1,TRUE,TRUE,deciduous,Rounded,Alternate,Lobed Simple,TRUE,Green,Acons,North America,,,Orange 
Japanese Maple,Acer palmatum,01336_Acer_palmatum.jpg,"Indigenous to southeast Asia, with over 1000 cultivars, this tree is prized for its ornamental character. The branches and leaves are used as a treatment in traditional Chinese medicine.",1336,2,Hill Tour,2,FALSE,FALSE,coniferous,"Vase Shaped, Rounded",Opposite,Lobed Simple,TRUE,Red,Keys,"Japan, Korea, China, Eastern Mongolia, Southeast Russia",,,"Red, Orange, Yellow, Copper"
Post Oak,Quercus stellata,01620_Quercus_stellata.jpg,"Indigenous to the eastern United States including Georgia, this tree adapts to many types of soils but prefers acidic soils.  It boasts good drought tolerance and the wood is  durable, thus it is well-suited for making posts (hence its common name, Post Oak).  In Texas, the wood is used as smoking wood for barbecues.",1620,2,Hill Tour,3,TRUE,FALSE,deciduous,Rounded,Alternate,Lobed Simple,TRUE,Brown,Acorns,North America,,,Copper
Red Maple,Acer rubrum,01609_Acer_rubrum.JPG,"A common native to North America including Georgia, the wood is soft and is a medium quality ?rewood possessing lower heat energy than other hardwoods such as Ash, Oak, or Birch.",1609,2,Hill Tour,4,TRUE,TRUE,deciduous,Rounded,Opposite,Lobed Simple,TRUE,Red,Keys,North America,,,Red
Ginko Tree,Ginkgo biloba,01555_Ginkgo_biloba.jpg,"The national tree of China and the of?cial tree of Tokyo, this tree is a living fossil, recognizably similar to fossils dating back 270 million years.  Six Ginkgo trees were among the few living organisms to survive Hiroshima.",1555,2,Hill Tour,5,FALSE,FALSE,deciduous,Pyramid,Alternate,Lobed Simple,TRUE,Green,Cones,China,,,Yellow
Yoshino Cherry,Prunus × yedoensis,01557_Prunus_x_serrulata.JPG,"Because of its fragrant, light pink ?owers, manageable size, and elegant shape, this tree is often used as an ornamental tree.  It occurs as a natural hybrid in Japan and has become one of the most popularly cultivated ?owering cherries in temperate climates worldwide.",1557,2,Hill Tour,6,FALSE,TRUE,deciduous,"Vase Shaped, Rounded",Alternate,Toothed Simple,TRUE,"Pink, White",berrylike Fruit,Hybrid,,,Yellow
Southern Magnolia,Magnolia grandiflora,01562_Magnolia_grandiflora.jpg,"This tree is grown for its attractive, shiny, green leaves and fragrant ?owers.  The leaves have a waxy coating that makes them resistant to damage from salt and air pollution.  Native to the southeastern United States, the timber of this tree is hard and heavy and has been used commercially to make furniture, pallets, and veneer.",1562,2,Hill Tour,7,TRUE,TRUE,coniferous,Conical,Alternate,Untoothed Simple,TRUE,White,Berrylike Fruit,Southeastern United States,,,Green
Shumard Oak,Quercus shumardii,01568_Quercus_shumardii.JPG,"Native to the eastern United States and Canada, including the state of Georgia, this tree tolerates many soil conditions including wet soils.  The fruit of the tree, a large acorn, is a food source for wildlife.  The wood is well-suited for the construction of flooring, furniture, and trim.",1568,2,Hill Tour,8,TRUE,FALSE,deciduous,Rounded,Alternate,Lobed Simple,TRUE,Brown,Acornes,Atlantic Costal Plain,,,Red
Dogwood,Cornus florida,01598_Cornus_florida.jpg,"Native to eastern North America including Georgia, this tree was used to treat dogs with mange.  The red berries are edible but do not taste good.  The wood has been used in the production of golf club heads, rake teeth, jeweler’s boxes, butcher’s blocks, scarlet inks, and as a quinine substitute. ",1598,2,Hill Tour,9,TRUE,FALSE,deciduous,Spreading,Opposite,Untoothed Simple,TRUE,Pink,Berrylike Fruit,"North America, Northern Mexico",,,Red
Eastern Redbud,Cercis canadensis,01597_Cercis_canadensis.jpg,"Indigenous to eastern North America including Georgia, Native Americans consumed redbud ?owers raw or boiled and ate the seeds roasted.  In some parts of Appalachia, the green twigs are used as seasoning for wild game.",1597,2,Hill Tour,10,TRUE,TRUE,deciduous,Rounded,Alternate,Untoothed Simple,TRUE,Pink,Pods,North America,,,Yellow
